2022-06-28 15:06:120 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 15:06:615 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 15:06:444 INFO  HomePage :28 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (7682f0edff55869b3440da595e95775e)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 15:06:783 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 15:06:945 INFO  HomePage :28 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (8079195e01b1ad1553c52368d4427d03)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 18:06:102 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 18:06:519 INFO  HomePage :33 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (dc34fc259e19bc21d9ae3c75a36b2a31)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 18:06:563 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 18:06:467 INFO  HomePage :41 - Enter bookHarry Potter and the Philosopher’s Stone– 25th Anniversary Edition to email field [[ChromeDriver: chrome on WINDOWS (261ce484b4904be938aa316e72865fd5)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 18:06:361 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 18:06:255 INFO  HomePage :33 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (93e51b5c031947c9ee7c2d62bddbb461)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 18:06:282 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 18:06:11 INFO  HomePage :41 - Enter bookHarry Potter and the Philosopher’s Stone– 25th Anniversary Edition to email field [[ChromeDriver: chrome on WINDOWS (31c19b0d941cfec5aae8ce29068d0cae)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 18:06:217 INFO  HomePage :37 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (31c19b0d941cfec5aae8ce29068d0cae)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 18:06:289 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 18:06:428 INFO  HomePage :33 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (9cfee1df109969f014a19176833e0fc7)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 18:06:921 INFO  HomePage :41 - Enter bookHarry Potter and the Philosopher’s Stone– 25th Anniversary Edition to email field [[ChromeDriver: chrome on WINDOWS (9cfee1df109969f014a19176833e0fc7)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 18:06:327 INFO  HomePage :37 - Clicking on close buttonProxy element for: DefaultElementLocator 'By.xpath: //input[@id='sp-cc-accept']'
2022-06-28 18:06:946 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 18:06:870 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (1febcd6d4ad16a720cb47916dd6c9900)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 18:06:444 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone– 25th Anniversary Edition to email field [[ChromeDriver: chrome on WINDOWS (1febcd6d4ad16a720cb47916dd6c9900)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 18:06:891 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (1febcd6d4ad16a720cb47916dd6c9900)] -> xpath: //input[@id='nav-search-submit-button']]
2022-06-28 18:06:304 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 18:06:496 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (2707e58f048273d2afbc15061432c505)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 18:06:982 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone– 25th Anniversary Edition to email field [[ChromeDriver: chrome on WINDOWS (2707e58f048273d2afbc15061432c505)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 18:06:686 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (2707e58f048273d2afbc15061432c505)] -> xpath: //input[@id='nav-search-submit-button']]
2022-06-28 18:06:923 INFO  BookSectionPage :29 - Verifying this book dispalyed first in the list [[ChromeDriver: chrome on WINDOWS (2707e58f048273d2afbc15061432c505)] -> xpath: //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]]
2022-06-28 18:06:504 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 18:06:407 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 18:06:813 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (30dca084758391eb8fc6d5091349a01c)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 18:06:549 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone – 25th Anniversary Edition: J.K. Rowling -25th Ann. Ed.-by J.K. Rowling and Thomas Taylor | 9 Jun 2022  to email field [[ChromeDriver: chrome on WINDOWS (30dca084758391eb8fc6d5091349a01c)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 18:06:318 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (30dca084758391eb8fc6d5091349a01c)] -> xpath: //input[@id='nav-search-submit-button']]
2022-06-28 18:06:821 INFO  BookSectionPage :29 - Verifying this book dispalyed first in the list [[ChromeDriver: chrome on WINDOWS (30dca084758391eb8fc6d5091349a01c)] -> xpath: //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]]
2022-06-28 18:06:961 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 18:06:45 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (c871a61ff1355c4f883fe129be81eb9c)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 18:06:651 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone – 25th Anniversary Edition: J.K. Rowling -25th Ann. Ed.  to email field [[ChromeDriver: chrome on WINDOWS (c871a61ff1355c4f883fe129be81eb9c)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 18:06:383 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (c871a61ff1355c4f883fe129be81eb9c)] -> xpath: //input[@id='nav-search-submit-button']]
2022-06-28 18:06:438 INFO  BookSectionPage :29 - Verifying this book dispalyed first in the list Proxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]'
2022-06-28 18:06:149 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 18:06:896 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (ae0146f4ce457cabeee3575d8d3db3cb)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 18:06:754 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone – 25th Anniversary Edition: J.K. Rowling -25th Ann. Ed. to email field [[ChromeDriver: chrome on WINDOWS (ae0146f4ce457cabeee3575d8d3db3cb)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 18:06:606 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (ae0146f4ce457cabeee3575d8d3db3cb)] -> xpath: //input[@id='nav-search-submit-button']]
2022-06-28 18:06:655 INFO  BookSectionPage :29 - Verifying this book dispalyed first in the list [[ChromeDriver: chrome on WINDOWS (ae0146f4ce457cabeee3575d8d3db3cb)] -> xpath: //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]]
2022-06-28 18:06:418 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 18:06:842 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (43a312aab28923960c0417736bd75b78)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 18:06:416 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone – 25th Anniversary Edition: J.K. Rowling -25th Ann. Ed. to email field [[ChromeDriver: chrome on WINDOWS (43a312aab28923960c0417736bd75b78)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 18:06:457 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (43a312aab28923960c0417736bd75b78)] -> xpath: //input[@id='nav-search-submit-button']]
2022-06-28 18:06:501 INFO  BookSectionPage :29 - Verifying this book dispalyed first in the list [[ChromeDriver: chrome on WINDOWS (43a312aab28923960c0417736bd75b78)] -> xpath: //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]]
2022-06-28 19:06:142 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 19:06:889 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (04d8c1c67e6f68b54fb032b470efdb30)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 19:06:543 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone – 25th Anniversary Edition: J.K. Rowling -25th Ann. Ed. to email field [[ChromeDriver: chrome on WINDOWS (04d8c1c67e6f68b54fb032b470efdb30)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 19:06:244 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (04d8c1c67e6f68b54fb032b470efdb30)] -> xpath: //input[@id='nav-search-submit-button']]
2022-06-28 19:06:109 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 19:06:00 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (88603fa9eb021eb687000607c165946e)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 19:06:666 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone – 25th Anniversary Edition: J.K. Rowling -25th Ann. Ed. to email field [[ChromeDriver: chrome on WINDOWS (88603fa9eb021eb687000607c165946e)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 19:06:323 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (88603fa9eb021eb687000607c165946e)] -> xpath: //input[@id='nav-search-submit-button']]
2022-06-28 19:06:04 INFO  BookSectionPage :38 - Verifying this book dispalyed first in the list [[ChromeDriver: chrome on WINDOWS (88603fa9eb021eb687000607c165946e)] -> xpath: //body/div[@id='a-page']/div[@id='search']/div[1]/div[1]/div[1]/span[3]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]]
2022-06-28 19:06:596 INFO  ManageDriver :31 - Launching Chrome Browser
2022-06-28 19:06:925 INFO  HomePage :36 - Clicking on close button[[ChromeDriver: chrome on WINDOWS (a05de9a15dce64fe62a3e47119f48aac)] -> xpath: //input[@id='sp-cc-accept']]
2022-06-28 19:06:634 INFO  HomePage :44 - Enter bookHarry Potter and the Philosopher’s Stone – 25th Anniversary Edition: J.K. Rowling -25th Ann. Ed. to email field [[ChromeDriver: chrome on WINDOWS (a05de9a15dce64fe62a3e47119f48aac)] -> xpath: //input[@id='twotabsearchtextbox']]
2022-06-28 19:06:472 INFO  HomePage :48 - Clicking on search button[[ChromeDriver: chrome on WINDOWS (a05de9a15dce64fe62a3e47119f48aac)] -> xpath: //input[@id='nav-search-submit-button']]
